"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
under65;black;5;50;12;38;561.112860;14.766128;Uncorrelated;1;25;22;26;-1.315985;0.994934;-1.322686;0.195033;0.069732;0.037494;1.859846;0.071841;0.069025;0.037502;1.840556;0.074694;0.000001;0.000000;0.000007;1.000000;0.000000;1.000000
under65;black;5;50;12;38;561.112860;14.766128;Uncorrelated;2;28;27;30;1.327894;0.333673;3.979623;0.000356;-0.024692;0.010930;-2.259163;0.030602;-0.094424;0.039054;-2.417773;0.021300;0.989894;0.000000;2.190212;1.000000;0.000000;1.000000
under65;black;5;50;12;38;561.112860;14.766128;Uncorrelated;3;33;30;42;0.474441;0.105165;4.511377;0.000077;0.001170;0.002727;0.429153;0.670601;0.025862;0.011265;2.295852;0.028173;0.001406;0.000000;0.001059;1.000000;0.000000;1.000000
under65;black;5;50;12;38;561.112860;14.766128;Uncorrelated;4;44;35;45;2.683395;1.479936;1.813182;0.078908;-0.049033;0.032549;-1.506451;0.141465;-0.050203;0.032663;-1.537025;0.133821;0.111338;0.000000;0.812628;1.000000;0.000000;1.000000
under65;black;5;50;12;38;561.112860;14.766128;Uncorrelated;5;47;45;48;-1.379614;0.901459;-1.530425;0.135442;0.037414;0.018409;2.032411;0.050224;0.086447;0.037394;2.311800;0.027173;0.000119;0.000000;0.000339;1.000000;0.000000;1.000000
under65;hisp;5;50;12;38;906.919079;23.866292;Uncorrelated;0;NA;NA;NA;-0.385246;0.024326;-15.837085;0.000000;0.002128;0.001689;1.260446;0.216349;NA;NA;NA;NA;0.000592;0.000000;5.216582;1.000000;0.000000;1.000000
under65;hisp;5;50;12;38;906.919079;23.866292;Uncorrelated;1;25;20;28;-1.827693;0.468751;-3.899068;0.000448;0.059826;0.016640;3.595326;0.001044;0.057698;0.016725;3.449701;0.001554;0.000003;0.000000;0.004125;1.000000;0.000000;1.000000
under65;hisp;5;50;12;38;906.919079;23.866292;Uncorrelated;2;31;27;32;2.627717;2.230250;1.178216;0.247137;-0.083897;0.068708;-1.221062;0.230715;-0.143723;0.070694;-2.033024;0.050159;0.219728;0.000000;6.750600;1.000000;0.000000;1.000000
under65;hisp;5;50;12;38;906.919079;23.866292;Uncorrelated;3;34;33;35;-4.664764;2.283984;-2.042380;0.049171;0.130588;0.064223;2.033341;0.050125;0.214485;0.094050;2.280537;0.029165;0.000277;0.000000;0.004558;1.000000;0.000000;1.000000
under65;hisp;5;50;12;38;906.919079;23.866292;Uncorrelated;4;37;36;38;5.254675;2.598192;2.022436;0.051298;-0.137505;0.067516;-2.036615;0.049777;-0.268093;0.093183;-2.877053;0.006985;4.974017;0.000000;0.060567;1.000000;0.000000;1.000000
under65;hisp;5;50;12;38;906.919079;23.866292;Uncorrelated;5;40;39;42;-0.821585;0.246103;-3.338381;0.002099;0.014402;0.005394;2.669973;0.011680;0.151907;0.067731;2.242776;0.031747;0.004721;0.000000;0.000029;1.000000;0.000000;1.000000
under65;multirace;0;50;2;48;75.281545;1.568366;Uncorrelated;0;NA;NA;NA;-0.600798;0.014495;-41.448523;0.000000;0.002450;0.000467;5.242458;0.000004;NA;NA;NA;NA;0.000210;-0.000006;0.000000;1.000000;-0.884766;1.000000
under65;nhopi;4;50;10;40;54.983699;1.374592;Uncorrelated;0;NA;NA;NA;0.258362;0.032585;7.928963;0.000000;0.000424;0.002170;0.195207;0.846329;NA;NA;NA;NA;0.001062;0.000000;0.000077;1.000000;0.000000;1.000000
under65;nhopi;4;50;10;40;54.983699;1.374592;Uncorrelated;1;26;3;39;-0.925629;0.912109;-1.014823;0.316962;0.045962;0.031960;1.438111;0.159040;0.045538;0.032033;1.421582;0.163754;0.000005;0.000000;14.988176;1.000000;0.000000;1.000000
under65;nhopi;4;50;10;40;54.983699;1.374592;Uncorrelated;2;31;26;42;0.898061;0.316348;2.838833;0.007398;-0.012867;0.008752;-1.470253;0.150180;-0.058829;0.033136;-1.775351;0.084295;0.831943;0.000000;0.008289;1.000000;0.000000;1.000000
under65;nhopi;4;50;10;40;54.983699;1.374592;Uncorrelated;3;41;39;45;-4.068812;3.871457;-1.050977;0.300273;0.108276;0.091043;1.189288;0.242112;0.121143;0.091463;1.324511;0.193681;0.001021;0.000000;0.475968;1.000000;0.000000;1.000000
under65;nhopi;4;50;10;40;54.983699;1.374592;Uncorrelated;4;44;43;48;2.904666;0.689905;4.210244;0.000162;-0.050212;0.014603;-3.438377;0.001494;-0.158488;0.092207;-1.718835;0.094234;0.100076;0.000000;0.000213;1.000000;0.000000;1.000000
