geography,sex,educ,age_grp,year,month,date,race,rr,var,sd,month_from_start,rr_lower,rr_upper
all,all,all,65andup,2021,12,2021-12-01,asian,0.5528316833513273,8.591830892403581e-7,9.269212961413489e-4,48,0.551017899553862,0.5546514375749195
all,all,all,65andup,2022,1,2022-01-01,asian,0.6108357668978313,8.035915447131104e-7,8.964326771783314e-4,49,0.6090812833585251,0.6125953042987053
all,all,all,65andup,2022,2,2022-02-01,asian,0.5931633549718073,1.028933530414481e-6,0.0010143636085814993,50,0.5911785305039969,0.5951548432948911
all,all,all,65andup,2018,1,2018-01-01,black,1.0640012812718853,1.0171095354224125e-6,0.001008518485414329,1,1.0620264200520995,1.065979814789049
all,all,all,65andup,2018,2,2018-02-01,black,1.0771083555002692,1.2575158957557228e-6,0.0011213901621450594,2,1.0749126717774353,1.0793085242637368
all,all,all,65andup,2018,3,2018-03-01,black,1.0663733565391358,1.1936583155452067e-6,0.0010925467109214172,3,1.0642341136186957,1.06851689960389
all,all,all,65andup,2018,4,2018-04-01,black,1.0508551649648814,1.248715060152615e-6,0.0011174591984285669,4,1.0486672258082208,1.0530476690374995
all,all,all,65andup,2018,5,2018-05-01,black,1.0700538083095197,1.3185571802200544e-6,0.0011482844509180007,5,1.067805536003138,1.0723068143695609
all,all,all,65andup,2018,6,2018-06-01,black,1.0854751870412855,1.4061186586304497e-6,0.001185798742886182,6,1.0831535079241952,1.0878018425480414
all,all,all,65andup,2018,7,2018-07-01,black,1.0875475808600725,1.3762495333636048e-6,0.0011731366217809435,7,1.085250662067596,1.0898493610510476
all,all,all,65andup,2018,8,2018-08-01,black,1.1021059214677822,1.3999748310642479e-6,0.0011832053207555516,8,1.099789277268,1.1044274455481553
all,all,all,65andup,2018,9,2018-09-01,black,1.0943855710323902,1.4103633421843731e-6,0.0011875871935080695,9,1.0920603737643213,1.0967157190728387
all,all,all,65andup,2018,10,2018-10-01,black,1.0788658133874431,1.2800418459475744e-6,0.0011313893432181401,10,1.0766505676855638,1.0810856170338097
all,all,all,65andup,2018,11,2018-11-01,black,1.0827541437702868,1.2814831819905339e-6,0.0011320261401533685,11,1.0805376443277817,1.0849751899028628
all,all,all,65andup,2018,12,2018-12-01,black,1.0870780337710153,1.200806140910823e-6,0.0010958130045362771,12,1.084932360636033,1.0892279504085136
all,all,all,65andup,2019,1,2019-01-01,black,1.0668746958618573,1.1314065089265685e-6,0.001063675941688336,13,1.0647919266729609,1.0689615390180571
all,all,all,65andup,2019,2,2019-02-01,black,1.0667173799087561,1.2491168196964747e-6,0.0011176389487202363,14,1.0645290552705777,1.0689102030288673
all,all,all,65andup,2019,3,2019-03-01,black,1.0705468649902123,1.1466643618437549e-6,0.0010708241507566753,15,1.0684501056826676,1.0726477390426297
all,all,all,65andup,2019,4,2019-04-01,black,1.0553241122592973,1.2243827451946696e-6,0.0011065182986262222,16,1.0531575633725407,1.0574951181563266
all,all,all,65andup,2019,5,2019-05-01,black,1.0613312814078175,1.2337332033050504e-6,0.001110735433532689,17,1.059156471245628,1.0635105571984291
all,all,all,65andup,2019,6,2019-06-01,black,1.0693958227378757,1.3119814426950523e-6,0.001145417584418474,18,1.067153159145465,1.071643199374469
all,all,all,65andup,2019,7,2019-07-01,black,1.0714545376527966,1.3010514230723948e-6,0.0011406364114267065,19,1.0692212210640968,1.0736925190413407
all,all,all,65andup,2019,8,2019-08-01,black,1.070131782954146,1.3011284264232394e-6,0.0011406701654830985,20,1.0678984032245582,1.0723698335260177
all,all,all,65andup,2019,9,2019-09-01,black,1.0837252943018252,1.3422919073740443e-6,0.001158573220549329,21,1.0814568682134593,1.0859984785613856
all,all,all,65andup,2019,10,2019-10-01,black,1.070171698957439,1.2240775773120935e-6,0.0011063803944901108,22,1.0680053889393257,1.0723424030536564
all,all,all,65andup,2019,11,2019-11-01,black,1.0873542682781363,1.2396070697010761e-6,0.0011133764276744303,23,1.0851742387687424,1.089538677294979
all,all,all,65andup,2019,12,2019-12-01,black,1.082791456762155,1.1503874112069039e-6,0.0010725611456727788,24,1.0806912763073353,1.0848957186397081
all,all,all,65andup,2020,1,2020-01-01,black,1.0627309603888213,1.0859661427832061e-6,0.001042096992982518,25,1.0606904118214253,1.0647754345488405
all,all,all,65andup,2020,2,2020-02-01,black,1.0770109834212322,1.1932324106924764e-6,0.001092351779736032,26,1.074872100599122,1.0791541223959809
all,all,all,65andup,2020,3,2020-03-01,black,1.1884076693419183,1.227511266393091e-6,0.0011079310747483758,27,1.1862381072299022,1.1905811994597921
all,all,all,65andup,2020,4,2020-04-01,black,1.667689460998159,1.6090449907151922e-6,0.0012684813718439826,28,1.6652050898436037,1.6701775386631441
all,all,all,65andup,2020,5,2020-05-01,black,1.3484637567438031,1.4162812200250895e-6,0.0011900761404318168,29,1.3461332237474577,1.3507983245443949
all,all,all,65andup,2020,6,2020-06-01,black,1.2182209594748865,1.4227364430640627e-6,0.0011927851621579063,30,1.215885342387516,1.220561063093173
all,all,all,65andup,2020,7,2020-07-01,black,1.2641746728069014,1.3566304598129474e-6,0.0011647448045872312,31,1.261893833027963,1.2664596351435076
all,all,all,65andup,2020,8,2020-08-01,black,1.2426954419031149,1.3090407685830303e-6,0.0011441331952980957,32,1.2404549629719424,1.244939967531661
all,all,all,65andup,2020,9,2020-09-01,black,1.1411113460397277,1.2425797126673754e-6,0.0011147105959249581,33,1.1389286035362494,1.1432982717420668
all,all,all,65andup,2020,10,2020-10-01,black,1.0876097593641771,1.0814146958330111e-6,0.0010399109076420976,34,1.0855734426517614,1.0896498957958218
all,all,all,65andup,2020,11,2020-11-01,black,1.0603979682568248,9.342415191171383e-7,9.665616995914634e-4,35,1.0585051985990788,1.062294122477048
all,all,all,65andup,2020,12,2020-12-01,black,1.09928854109174,8.083992192905271e-7,8.991102375629626e-4,36,1.0975276967972312,1.1010522104380798
all,all,all,65andup,2021,1,2021-01-01,black,1.1860066723107876,8.942358646434924e-7,9.456404520976735e-4,37,1.1841546645324141,1.1878615766135037
all,all,all,65andup,2021,2,2021-02-01,black,1.242595373551244,1.2612584076677327e-6,0.0011230576154711443,38,1.2403961291234555,1.2447985172785705
all,all,all,65andup,2021,3,2021-03-01,black,1.152981925123886,1.202820292320414e-6,0.0010967316409771417,39,1.1508343336906388,1.1551335242138645
all,all,all,65andup,2021,4,2021-04-01,black,1.153111736498203,1.2740991065517974e-6,0.001128759986246765,40,1.1509014879036448,1.1553262297643525
all,all,all,65andup,2021,5,2021-05-01,black,1.1309597387974428,1.239146466579811e-6,0.0011131695587734201,41,1.1287800296517922,1.1331436570288629
all,all,all,65andup,2021,6,2021-06-01,black,1.0861142126647874,1.2410613596463274e-6,0.001114029335182125,42,1.083932908522792,1.0882999064583216
all,all,all,65andup,2021,7,2021-07-01,black,1.0871487297265057,1.1830342003378875e-6,0.0010876737563892435,43,1.0850189780110966,1.0892826618686733
all,all,all,65andup,2021,8,2021-08-01,black,1.1483896412197394,1.1099953041693326e-6,0.0010535631467403046,44,1.146326512921336,1.1504564826821737
all,all,all,65andup,2021,9,2021-09-01,black,1.098578021322131,1.0330355853709802e-6,0.0010163835818090433,45,1.0965877146133671,1.1005719404375833
all,all,all,65andup,2021,10,2021-10-01,black,1.0157877715028627,9.471911389278772e-7,9.732374524893076e-4,46,1.0138820160628104,1.017697109118888
all,all,all,65andup,2021,11,2021-11-01,black,1.0109517385893616,9.759056592557247e-7,9.878793748508594e-4,47,1.0090173480441862,1.0128898375611448
all,all,all,65andup,2021,12,2021-12-01,black,0.9735163570088838,8.7245981780268e-7,9.340555753287274e-4,48,0.9716873284127058,0.9753488284261297
all,all,all,65andup,2022,1,2022-01-01,black,1.1803084065355487,9.135638779588988e-7,9.558053556864487e-4,49,1.1784365139597663,1.1821832725271864
all,all,all,65andup,2022,2,2022-02-01,black,0.9988051960743879,9.995223329822773e-7,9.997611379636024e-4,50,0.99684758516669425,1.0007666513415634
all,all,all,65andup,2018,1,2018-01-01,hisp,0.707248221625352,6.893835887021208e-7,8.302912673888127e-4,1,0.7056227215878954,0.7088774662281278
all,all,all,65andup,2018,2,2018-02-01,hisp,0.7078773697277101,8.388631949042686e-7,9.158947509972249e-4,2,0.7060844903181963,0.7096748015903951
all,all,all,65andup,2018,3,2018-03-01,hisp,0.7149480895034429,8.166481321003173e-7,9.03685859190193e-4,3,0.7131790574389546,0.716721509630666
all,all,all,65andup,2018,4,2018-04-01,hisp,0.7034906356078153,8.506887052816159e-7,9.223278729831468e-4,4,0.7016851936958322,0.7053007229370408
all,all,all,65andup,2018,5,2018-05-01,hisp,0.7078211202114917,8.880478267095265e-7,9.423628954439614e-4,5,0.7059764967192326,0.7096705634616947
all,all,all,65andup,2018,6,2018-06-01,hisp,0.7211734023902725,9.490018749381607e-7,9.741672725657338e-4,6,0.7192665599136424,0.7230853000834708
all,all,all,65andup,2018,7,2018-07-01,hisp,0.7113976370246999,9.15921854443905e-7,9.57038063215829e-4,7,0.7095243132715995,0.7132759068266085
all,all,all,65andup,2018,8,2018-08-01,hisp,0.7165013941634757,9.224462645821297e-7,9.604406616663674e-4,8,0.7146214012002391,0.718386332925335
all,all,all,65andup,2018,9,2018-09-01,hisp,0.7046731799326837,9.221519747140773e-7,9.602874437969484e-4,9,0.7027935279106804,0.7065578591662129
all,all,all,65andup,2018,10,2018-10-01,hisp,0.6912131549440095,8.303432674300365e-7,9.112317309170245e-4,10,0.6894294461915285,0.6930014785514714
all,all,all,65andup,2018,11,2018-11-01,hisp,0.7050372243169153,8.467392173919776e-7,9.201843388104242e-4,11,0.703235967899269,0.7068430944415252
all,all,all,65andup,2018,12,2018-12-01,hisp,0.7132045990537937,7.969845375780545e-7,8.927399047752119e-4,12,0.7114569735219831,0.7149565174594016
all,all,all,65andup,2019,1,2019-01-01,hisp,0.721868815064462,7.764890328998959e-7,8.811861511053699e-4,13,0.7201437546988539,0.7235980077067795
all,all,all,65andup,2019,2,2019-02-01,hisp,0.7083170579542751,8.418603439599763e-7,9.175294785237018e-4,14,0.7065209811855361,0.7101177006054793
all,all,all,65andup,2019,3,2019-03-01,hisp,0.7122871430664511,7.731364993723305e-7,8.792818088487504e-4,15,0.7105658339309926,0.7140126219846353
all,all,all,65andup,2019,4,2019-04-01,hisp,0.7109460926156933,8.378189323494516e-7,9.153244956568417e-4,16,0.7091543182803416,0.7127423941113344
all,all,all,65andup,2019,5,2019-05-01,hisp,0.7249529620113784,8.541831309217829e-7,9.242202826825339e-4,17,0.7231437515753943,0.7267666988536191
all,all,all,65andup,2019,6,2019-06-01,hisp,0.7094443008958685,8.801150277607359e-7,9.381444599637818e-4,18,0.7076079185830643,0.7112854489834899
all,all,all,65andup,2019,7,2019-07-01,hisp,0.7139312359626061,8.740470914815569e-7,9.34904856914091e-4,19,0.7121011720169792,0.7157660030798844
all,all,all,65andup,2019,8,2019-08-01,hisp,0.7024304373618047,8.60667102269554e-7,9.277214572648161e-4,20,0.7006144547751524,0.7042511269491941
all,all,all,65andup,2019,9,2019-09-01,hisp,0.7069194772110353,8.814767952611892e-7,9.388699565228345e-4,21,0.7050816851162449,0.7087620595022739
all,all,all,65andup,2019,10,2019-10-01,hisp,0.6982557325422128,8.031419516414209e-7,8.961818741982125e-4,22,0.6965014235441105,0.7000144601961238
all,all,all,65andup,2019,11,2019-11-01,hisp,0.7029678866896444,8.039418334090342e-7,8.96628035145586e-4,23,0.7012126906140738,0.704727476172957
all,all,all,65andup,2019,12,2019-12-01,hisp,0.7094807791425256,7.531176399055052e-7,8.678235073478393e-4,24,0.7077818823791602,0.7111837537867813
all,all,all,65andup,2020,1,2020-01-01,hisp,0.7237686538897178,7.450174920904413e-7,8.631439579180528e-4,25,0.7220788673845879,0.7254623947806659
all,all,all,65andup,2020,2,2020-02-01,hisp,0.724084107842516,8.079240296123344e-7,8.98845943202913e-4,26,0.722324511261433,0.7258479908351492
all,all,all,65andup,2020,3,2020-03-01,hisp,0.752729424932848,7.713997594919699e-7,8.782936635840941e-4,27,0.7510099362950923,0.7544528504574975
all,all,all,65andup,2020,4,2020-04-01,hisp,1.0293461038449525,9.621346232443593e-7,9.808846126045405e-4,28,1.0274253642677653,1.0312704341846919
all,all,all,65andup,2020,5,2020-05-01,hisp,0.8638298712095601,8.916865577359572e-7,9.442915639440803e-4,29,0.861981041070675,0.8656826668334381
all,all,all,65andup,2020,6,2020-06-01,hisp,0.8586733280435107,9.979906264399818e-7,9.98994808014527e-4,30,0.8567175289682123,0.8606335920093869
all,all,all,65andup,2020,7,2020-07-01,hisp,1.0916324904827028,1.1888929473909257e-6,0.0010903636766652334,31,1.089497468248209,1.0937716965910236
all,all,all,65andup,2020,8,2020-08-01,hisp,0.953376619210105,1.004435492534995e-6,0.0010022152925070517,32,0.9514142995176794,0.9553429862440276
all,all,all,65andup,2020,9,2020-09-01,hisp,0.8008527613170652,8.701278748020441e-7,9.328064508793044e-4,33,0.7990265460385542,0.802683150502263
all,all,all,65andup,2020,10,2020-10-01,hisp,0.7499525195511192,7.417718258478313e-7,8.612617638371225e-4,34,0.7482663449167122,0.7516424938818738
all,all,all,65andup,2020,11,2020-11-01,hisp,0.8167725065129132,7.229824966488411e-7,8.502837741888535e-4,35,0.8151076493941792,0.8184407641017911
all,all,all,65andup,2020,12,2020-12-01,hisp,0.9384388078938906,6.938336150597535e-7,8.32966755074747e-4,36,0.9368076123719483,0.9400728436989342
all,all,all,65andup,2021,1,2021-01-01,hisp,1.077299893607635,8.200137168409275e-7,9.055460876404511e-4,37,1.0755264845381516,1.079076226807554
all,all,all,65andup,2021,2,2021-02-01,hisp,0.965514245503917,9.718698665006218e-7,9.858346040288004e-4,38,0.9635839418348087,0.9674484160621392
all,all,all,65andup,2021,3,2021-03-01,hisp,0.8358046782450674,8.657837206811173e-7,9.304749973433554e-4,39,0.8339829355000613,0.8376304003840008
all,all,all,65andup,2021,4,2021-04-01,hisp,0.7764897421265391,8.47538843132721e-7,9.206187284281811e-4,40,0.7746874243496834,0.7782962530131144
all,all,all,65andup,2021,5,2021-05-01,hisp,0.7516179578092727,8.102682574086904e-7,9.001490195565901e-4,41,0.7498557347956882,0.7533843221927307
all,all,all,65andup,2021,6,2021-06-01,hisp,0.7317164732978848,8.295536152321543e-7,9.107983394979123e-4,42,0.7299334844110477,0.7335038174437126
all,all,all,65andup,2021,7,2021-07-01,hisp,0.7352211516844704,7.925572239485419e-7,8.9025683032962e-4,43,0.7334783172531447,0.7369681273041361
all,all,all,65andup,2021,8,2021-08-01,hisp,0.8047647569623143,7.729565964885138e-7,8.791795018587011e-4,44,0.8030434087033779,0.8064897949842156
all,all,all,65andup,2021,9,2021-09-01,hisp,0.7946241690462057,7.43856917321912e-7,8.624714008718851e-4,45,0.7929355219093214,0.7963164123508416
all,all,all,65andup,2021,10,2021-10-01,hisp,0.7356816629909446,6.869298309622709e-7,8.288123014062175e-4,46,0.7340589830740826,0.7373079299357884
all,all,all,65andup,2021,11,2021-11-01,hisp,0.7526300388434496,7.284152518229603e-7,8.534724669390104e-4,47,0.7509590904327613,0.754304705257724
all,all,all,65andup,2021,12,2021-12-01,hisp,0.7497160037763022,6.776428122006306e-7,8.231906293202266e-4,48,0.74810428504388915,0.7513311948017156
all,all,all,65andup,2022,1,2022-01-01,hisp,0.8731792913713842,6.74866929018035e-7,8.21502847845359e-4,49,0.8715706294344818,0.8747909224230547
all,all,all,65andup,2022,2,2022-02-01,hisp,0.8196219271719131,8.309045094283608e-7,9.115396367840296e-4,50,0.8178372553106691,0.821410493516603
all,all,all,65andup,2018,1,2018-01-01,multirace,0.4028816207040466,4.249441303222773e-6,0.0020614173044831976,1,0.39886143509406824,0.4069423263816892
all,all,all,65andup,2018,2,2018-02-01,multirace,0.4114262911218387,5.254894417570698e-6,0.002292355648142473,2,0.4069577181835668,0.41594393093662496
all,all,all,65andup,2018,3,2018-03-01,multirace,0.4483297849372591,5.514006077106858e-6,0.0023481920869270595,3,0.44375087172546357,0.45295594638570513
all,all,all,65andup,2018,4,2018-04-01,multirace,0.3694445185097691,4.751096375573341e-6,0.002179700983064728,4,0.3651969113370162,0.37374152962361223
all,all,all,65andup,2018,5,2018-05-01,multirace,0.44268805364910085,5.926789334522929e-6,0.002434499811978413,5,0.43794205789538354,0.4474854819503167
all,all,all,65andup,2018,6,2018-06-01,multirace,0.4220941696925388,5.895618727890438e-6,0.002428089522215035,6,0.41736184253976255,0.4268801551293226
all,all,all,65andup,2018,7,2018-07-01,multirace,0.412434329336877,5.652370765009333e-6,0.002377471506666133,7,0.4078007106919167,0.4171205972813211
all,all,all,65andup,2018,8,2018-08-01,multirace,0.4303778475140241,5.88175613248258e-6,0.0024252332119782997,8,0.42565054464125607,0.43515765212262264
all,all,all,65andup,2018,9,2018-09-01,multirace,0.4215587035089473,5.828899169158755e-6,0.00241431132399257,9,0.41685311314975343,0.42631741229266545
all,all,all,65andup,2018,10,2018-10-01,multirace,0.4227820285917289,5.386723571815371e-6,0.002320931617220846,10,0.41825738825770487,0.4273556157482767
all,all,all,65andup,2018,11,2018-11-01,multirace,0.40752940472501115,5.189454296530749e-6,0.0022780373782119445,11,0.40308882172977895,0.4120189069069698
all,all,all,65andup,2018,12,2018-12-01,multirace,0.41081155736126546,4.8725130153146615e-6,0.002207376953606851,12,0.4065078008003686,0.41516087841194327
all,all,all,65andup,2019,1,2019-01-01,multirace,0.3647709414544952,4.1524504777677645e-6,0.002037756236100816,13,0.3607987254946616,0.36878688955226785
