"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"all_ages";"multirace";0;48;2;46;76.127749;1.654951;Uncorrelated;0;NA;NA;NA;-0.813955;0.012238;-66.512517;0.000000;0.001293;0.000411;3.146277;0.002898;NA;NA;NA;NA;0.000150;-0.000004;0.000000;1.000000;-0.883992;1.000000
"all_ages";"nhopi";0;48;2;46;79.595705;1.730341;Uncorrelated;0;NA;NA;NA;-0.151901;0.023437;-6.481196;0.000000;0.005162;0.000767;6.730738;0.000000;NA;NA;NA;NA;0.000549;-0.000016;0.000001;1.000000;-0.890518;1.000000
"under65";"aian";4;48;10;38;57.269579;1.507094;Uncorrelated;0;NA;NA;NA;0.514344;0.014590;35.252147;0.000000;0.001570;0.000941;1.669386;0.104225;NA;NA;NA;NA;0.000213;0.000000;0.000046;1.000000;0.000000;1.000000
"under65";"aian";4;48;10;38;57.269579;1.507094;Uncorrelated;1;27;24;28;-1.778675;1.281946;-1.387480;0.174323;0.086497;0.044927;1.925256;0.062596;0.084927;0.044937;1.889890;0.067323;0.000001;0.000000;2.816305;1.000000;0.000000;1.000000
"under65";"aian";4;48;10;38;57.269579;1.507094;Uncorrelated;2;30;28;32;0.625172;0.226934;2.754865;0.009364;0.006369;0.006754;0.942999;0.352334;-0.080128;0.045432;-1.763685;0.086770;1.643387;0.000000;0.001901;1.000000;0.000000;1.000000
"under65";"aian";4;48;10;38;57.269579;1.507094;Uncorrelated;3;37;35;38;2.944213;1.678185;1.754403;0.088371;-0.056308;0.043600;-1.291466;0.205253;-0.062677;0.044120;-1.420595;0.164541;0.002018;0.000000;0.041844;1.000000;0.000000;1.000000
"under65";"aian";4;48;10;38;57.269579;1.507094;Uncorrelated;4;40;38;42;0.091128;0.204557;0.445488;0.658791;0.015019;0.004581;3.278756;0.002410;0.071327;0.043840;1.626984;0.112974;0.051499;0.000000;0.000021;1.000000;0.000000;1.000000
"under65";"asian";5;48;12;36;147.975286;4.110425;Uncorrelated;0;NA;NA;NA;-0.930781;0.017130;-54.335682;0.000000;-0.000343;0.001196;-0.286569;0.776349;NA;NA;NA;NA;0.000293;0.000000;0.145048;1.000000;0.000000;1.000000
"under65";"asian";5;48;12;36;147.975286;4.110425;Uncorrelated;1;25;22;26;-3.185326;1.430944;-2.226031;0.033417;0.089839;0.053926;1.665961;0.105796;0.090182;0.053939;1.671907;0.104608;0.000001;0.000000;0.000124;1.000000;0.000000;1.000000
"under65";"asian";5;48;12;36;147.975286;4.110425;Uncorrelated;2;28;27;29;2.668789;1.532848;1.741065;0.091590;-0.119237;0.052013;-2.292456;0.028826;-0.209076;0.074922;-2.790566;0.008923;2.047600;0.000000;0.387865;1.000000;0.000000;1.000000
"under65";"asian";5;48;12;36;147.975286;4.110425;Uncorrelated;3;31;30;34;-2.614408;0.380852;-6.864630;0.000000;0.051189;0.011144;4.593357;0.000069;0.170426;0.053193;3.203909;0.003133;0.002908;0.000000;0.000249;1.000000;0.000000;1.000000
"under65";"asian";5;48;12;36;147.975286;4.110425;Uncorrelated;4;37;35;39;1.495163;0.622788;2.400757;0.022550;-0.059880;0.015778;-3.795149;0.000643;-0.111069;0.019317;-5.749867;0.000003;2.349624;0.000000;0.158716;1.000000;0.000000;1.000000
"under65";"asian";5;48;12;36;147.975286;4.110425;Uncorrelated;5;42;39;46;-1.184193;0.398392;-2.972430;0.005671;0.003914;0.008754;0.447111;0.657904;0.063794;0.018044;3.535539;0.001303;0.002705;0.000000;0.000077;1.000000;0.000000;1.000000
"under65";"black";4;48;10;38;411.478086;10.828371;Uncorrelated;0;NA;NA;NA;0.409636;0.007798;52.533570;0.000000;0.000708;0.000545;1.298578;0.202828;NA;NA;NA;NA;0.000061;0.000000;0.000055;1.000000;0.000000;1.000000
"under65";"black";4;48;10;38;411.478086;10.828371;Uncorrelated;1;25;23;26;-1.313868;0.673233;-1.951581;0.059265;0.069648;0.025370;2.745252;0.009590;0.068940;0.025376;2.716707;0.010293;0.000000;0.000000;0.005064;1.000000;0.000000;1.000000
"under65";"black";4;48;10;38;411.478086;10.828371;Uncorrelated;2;28;27;29;1.321719;0.225784;5.853917;0.000001;-0.024480;0.007396;-3.310014;0.002216;-0.094128;0.026426;-3.561888;0.001114;0.453242;0.000000;0.000003;1.000000;0.000000;1.000000
"under65";"black";4;48;10;38;411.478086;10.828371;Uncorrelated;3;33;30;40;0.484625;0.071161;6.810239;0.000000;0.000887;0.001845;0.480519;0.633936;0.025366;0.007622;3.327874;0.002111;0.000644;0.000000;0.111749;1.000000;0.000000;1.000000
"under65";"black";4;48;10;38;411.478086;10.828371;Uncorrelated;4;44;40;46;2.442414;0.334289;7.306291;0.000000;-0.043608;0.007205;-6.052526;0.000001;-0.044495;0.007438;-5.982474;0.000001;0.050978;0.000000;0.000052;1.000000;0.000000;1.000000
"under65";"hisp";5;48;12;36;878.376719;24.399353;Uncorrelated;0;NA;NA;NA;-0.385241;0.024817;-15.522948;0.000000;0.002128;0.001723;1.235128;0.226062;NA;NA;NA;NA;0.000616;0.000000;5.429715;1.000000;0.000000;1.000000
"under65";"hisp";5;48;12;36;878.376719;24.399353;Uncorrelated;1;25;20;28;-1.828003;0.478231;-3.822426;0.000597;0.059838;0.016977;3.524766;0.001341;0.057711;0.017064;3.382057;0.001962;0.000003;0.000000;0.004293;1.000000;0.000000;1.000000
"under65";"hisp";5;48;12;36;878.376719;24.399353;Uncorrelated;2;31;27;32;2.632948;2.275355;1.157159;0.256046;-0.084063;0.070097;-1.199236;0.239523;-0.143902;0.072124;-1.995202;0.054874;0.228705;0.000000;7.026406;1.000000;0.000000;1.000000
"under65";"hisp";5;48;12;36;878.376719;24.399353;Uncorrelated;3;34;33;35;-4.689212;2.330175;-2.012386;0.052937;0.131294;0.065522;2.003812;0.053896;0.215358;0.095952;2.244428;0.032084;0.000288;0.000000;0.004745;1.000000;0.000000;1.000000
"under65";"hisp";5;48;12;36;878.376719;24.399353;Uncorrelated;4;37;36;38;5.394342;2.650737;2.035035;0.050475;-0.141234;0.068882;-2.050385;0.048864;-0.272528;0.095068;-2.866678;0.007392;5.177239;0.000000;0.116619;1.000000;0.000000;1.000000
"under65";"hisp";5;48;12;36;878.376719;24.399353;Uncorrelated;5;40;39;42;-0.963532;0.341495;-2.821512;0.008268;0.017713;0.007644;2.317068;0.027275;0.158947;0.069305;2.293451;0.028762;0.004914;0.000000;0.000058;1.000000;0.000000;1.000000
"under65";"multirace";0;48;2;46;75.025006;1.630978;Uncorrelated;0;NA;NA;NA;-0.600278;0.015079;-39.808213;0.000000;0.002422;0.000505;4.798391;0.000017;NA;NA;NA;NA;0.000227;-0.000007;0.000000;1.000000;-0.884053;1.000000
"under65";"nhopi";4;48;10;38;54.801628;1.442148;Uncorrelated;0;NA;NA;NA;0.258374;0.033494;7.713978;0.000000;0.000422;0.002231;0.189299;0.850984;NA;NA;NA;NA;0.001122;0.000000;0.000081;1.000000;0.000000;1.000000
"under65";"nhopi";4;48;10;38;54.801628;1.442148;Uncorrelated;1;26;3;36;-0.926764;0.937573;-0.988471;0.329905;0.046005;0.032852;1.400354;0.170468;0.045582;0.032928;1.384311;0.175282;0.000005;0.000000;15.836740;1.000000;0.000000;1.000000
"under65";"nhopi";4;48;10;38;54.801628;1.442148;Uncorrelated;2;31;26;39;0.900563;0.325180;2.769425;0.009030;-0.012941;0.008996;-1.438609;0.159404;-0.058946;0.034061;-1.730577;0.092595;0.879044;0.000000;0.008758;1.000000;0.000000;1.000000
"under65";"nhopi";4;48;10;38;54.801628;1.442148;Uncorrelated;3;41;39;43;-4.137676;3.979540;-1.039737;0.305800;0.109942;0.093585;1.174790;0.248241;0.122884;0.094016;1.307052;0.199966;0.001079;0.000000;1.502853;1.000000;0.000000;1.000000
"under65";"nhopi";4;48;10;38;54.801628;1.442148;Uncorrelated;4;44;43;46;3.065025;1.225909;2.500206;0.017398;-0.053755;0.026435;-2.033528;0.049863;-0.163698;0.097246;-1.683328;0.101473;0.105742;0.000000;0.000699;1.000000;0.000000;1.000000
